accession	description
"AB434594"	"Fagus crenata FcMYBC2 mRNA for transcription factor MYBC2, partial cds."
"AB434592"	"Fagus crenata FcMYBGAP7 mRNA for transcription factor MYBGAP7, partial cds."
"AB434550"	"Fagus crenata FcMYBS5 mRNA for transcription factor MYBS5, partial cds."
"AB434583"	"Fagus crenata FcMYBGAL1 mRNA for transcription factor MYBGAL1, partial cds."
"AB434586"	"Fagus crenata FcMYBGAP1 mRNA for transcription factor MYBGAP1, partial cds."
"AB434576"	"Fagus crenata FcMYBF2 mRNA for transcription factor MYBF2, partial cds."
"AB434552"	"Fagus crenata FcMYBS7 mRNA for transcription factor MYBS7, partial cds."
"AB434643"	"Fagus crenata FcMYB572 gene for transcription factor MYB572, partial cds."
"AB434612"	"Fagus crenata FcMYBD7 mRNA for transcription factor MYBD7, partial cds."
"AB434627"	"Fagus crenata FcMYB283 gene for transcription factor MYB283, partial cds."
"AB434577"	"Fagus crenata FcMYBF3 mRNA for transcription factor MYBF3, partial cds."
"AB434571"	"Fagus crenata FcMYBM6 mRNA for transcription factor MYBM6, partial cds."
"AB434572"	"Fagus crenata FcMYBP1 mRNA for transcription factor MYBP1, partial cds."
"AB500068"	"Fagus crenata FcMYBFL21 mRNA for transcription factor MYBFL21, partial cds."
"AB434597"	"Fagus crenata FcMYBC5 mRNA for transcription factor MYBC5, partial cds."
"AB434642"	"Fagus crenata FcMYB499 gene for transcription factor MYB499, partial cds."
"MT728949"	"Fagus crenata isolate 434_1 hypothetical protein (LOC115958068) gene, partial cds."
"MT727249"	"Fagus crenata isolate 463_1 LOC115955630-LOC115958511 intergenic spacer, partial sequence."
"MT728791"	"Fagus crenata isolate 434_1 pectinesterase-like (LOC115971324) gene, partial cds."
"AB434623"	"Fagus crenata FcMYB179B gene for transcription factor MYB179B, partial cds."
"MT727167"	"Fagus crenata isolate 434_1 LOC115990246-LOC115992442 intergenic spacer, partial sequence."
"AB434579"	"Fagus crenata FcMYBF5 mRNA for transcription factor MYBF5, partial cds."
"AB500072"	"Fagus crenata FcMYBFL2 mRNA for transcription factor MYBFL2, partial cds."
"MT727083"	"Fagus crenata isolate 434_1 LOC115991930-LOC115993070 intergenic spacer, partial sequence."
"AB434616"	"Fagus crenata FcMYBH1 mRNA for transcription factor MYBH1, partial cds."
"MT727172"	"Fagus crenata isolate 463_2 LOC115990246-LOC115992442 intergenic spacer, partial sequence."
"AB046498"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype:G."
"AB046499"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype:H."
"AB434570"	"Fagus crenata FcMYBM5 mRNA for transcription factor MYBM5, partial cds."
"AB434580"	"Fagus crenata FcMYBF6 mRNA for transcription factor MYBF6, partial cds."
"AB046500"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype: I."
"AB046497"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype:F."
"AB434553"	"Fagus crenata FcMYBS8 mRNA for transcription factor MYBS8, partial cds."
"AB434615"	"Fagus crenata FcMYBD10 mRNA for transcription factor MYBD10, partial cds."
"AB434610"	"Fagus crenata FcMYBD5 mRNA for transcription factor MYBD5, partial cds."
"AB434614"	"Fagus crenata FcMYBD9 mRNA for transcription factor MYBD9, partial cds."
"AB434582"	"Fagus crenata FcMYBF8 mRNA for transcription factor MYBF8, partial cds."
"AB434568"	"Fagus crenata FcMYBM3 mRNA for transcription factor MYBM3, partial cds."
"AB434569"	"Fagus crenata FcMYBM4 mRNA for transcription factor MYBM4, partial cds."
"AB043712"	"Fagus crenata chloroplast DNA, trnT-trnL spacer region, haplotype:FC2."
"AB434609"	"Fagus crenata FcMYBD4 mRNA for transcription factor MYBD4, partial cds."
"AB046502"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype: K."
"AB434607"	"Fagus crenata FcMYBD2 mRNA for transcription factor MYBD2, partial cds."
"AB434588"	"Fagus crenata FcMYBGAP3 mRNA for transcription factor MYBGAP3, partial cds."
"AB043717"	"Fagus crenata chloroplast DNA, trnT-trnL spacer region, haplotype:FC7."
"AB046496"	"Fagus crenata chloroplast gene for maturase, complete cds, haplotype:E."
"AB434567"	"Fagus crenata FcMYBM2 mRNA for transcription factor MYBM2, partial cds."
"AB434589"	"Fagus crenata FcMYBGAP4 mRNA for transcription factor MYBGAP4, partial cds."
"AB434647"	"Fagus crenata FcMYB680 gene for transcription factor MYB680, partial cds."
"AB434587"	"Fagus crenata FcMYBGAP2 mRNA for transcription factor MYBGAP2, partial cds."
