accession	description
"LC373134"	"Crassiperidium octosporum KT 3008 RPB2 gene for RNA polymerase II second largest subunit, partial cds."
"AB508103"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H10, country: Japan:Nagano, Obora."
"AB753805"	"Hartigiola faggalli mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, isolate: M19hf."
"KC660493"	"Neonectria coccinea strain MAFF 241561 translation elongation factor 1-alpha (ef-1 alpha) gene, partial cds."
"LC206472"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3196."
"LC497345"	"Dasyscyphella longistipitata DL676 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H87."
"AB508162"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H57, country: Japan:Ehime, Mt. Takanawa."
"LC206518"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3314."
"JN378485"	"Octaviania japonimontana voucher KPM-NC-0017810 28S ribosomal RNA gene, partial sequence."
"LC373096"	"Crassiperidium octosporum KT 2144 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence."
"LC203410"	"Pseudodidymella fagi rpb2 gene for RNA polymerase II second largest subunit, partial cds, strain: KT 3074-3."
"AB162829"	"Hartigiola faggalli mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, isolate: S7."
"LC206651"	"Ramularia aplospora gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3888."
"LC206548"	"Colletotrichum lupini gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3607."
"LC373103"	"Crassiperidium octosporum KT 3604 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence."
"LC206559"	"Ramularia haroldporteri gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3618."
"AB915945"	"Phomopsis sp. 2T184 genes for ITS2, 28S rRNA, partial sequence."
"LC206443"	"Diaporthe vaccinii gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-2417."
"LC206513"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3307."
"JN378457"	"Harrya chromapes voucher KPM-NC-0017835 translation elongation factor 1-alpha (tef1) gene, partial cds."
"LC206494"	"Trametes versicolor gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3285."
"LC438572"	"Incrucipulum radiatum TNS:F-16769 gene for large subunit ribosomal RNA, partial sequence."
"LC194361"	"Cryptocoryneum longicondensatum gene for 28S ribosomal RNA, partial sequence, strain: KT3487."
"LC206681"	"Syncephalastrum racemosum gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-4128."
"JX034565"	"Neonectria ramulariae strain MAFF 411012 18S ribosomal RNA gene, partial sequence internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence and 28S ribosomal RNA gene, partial sequence."
"LC206564"	"Gloeosporium orbiculare gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3625."
"AB848655"	"Tomentella sp. YM1606 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"LC373089"	"Crassiperidium octosporum KT 3188 gene for 18S ribosomal RNA, partial sequence."
"AB508111"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H12, country: Japan:Ibaraki, Mt. Tsukuba."
"LC497355"	"Dasyscyphella longistipitata DL696 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H94."
"LC373138"	"Crassiperidium octosporum KT 3468 RPB2 gene for RNA polymerase II second largest subunit, partial cds."
"AB508099"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H1, country: Japan:Niigata, Matsunoyama-onsen."
"LC497372"	"Dasyscyphella longistipitata DL754 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H103."
"LC206638"	"Oidiodendron maius gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3853."
"LC206561"	"Ramularia haroldporteri gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3620."
"AB221377"	"Pucciniastrum fagi gene for 28S rRNA, partial sequence, specimen_voucher: TSH-R4245 (IBA8447)."
"LC206517"	"Ramularia haroldporteri gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3313."
"LC096159"	"Cryptocoryneum congregatum genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, strain: KT2892."
"LC497397"	"Dasyscyphella longistipitata DL881 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H123."
"LC497344"	"Dasyscyphella longistipitata DL672 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H86."
"LC206601"	"Umbelopsis dimorpha gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3671."
"AB553742"	"Asterosporium asterospermum gene for 28S ribosomal RNA, partial sequence, strain: KT2101."
"LC206445"	"Fusarium lateritium gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-2446."
"AB508133"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H28, country: Japan:Niigata, Matsunoyama-onsen."
"AB508158"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H53, country: Japan:Gunma, Tanbara."
"LC497410"	"Dasyscyphella longistipitata DL1010 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H141."
"LC206511"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3305."
"AB508139"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H28, country: Japan:Ehime, Mt. Takanawa."
"AB472191"	"Fungal endophyte sp. Akayasu genes for 5.8S rRNA, ITS2, partial sequence."
"AB508102"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H10, country: Japan:Ishikawa, Mt. Horyu."
"LC497411"	"Dasyscyphella longistipitata DL1012 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H142."
"LC194363"	"Cryptocoryneum paracondensatum gene for 28S ribosomal RNA, partial sequence, strain: KT3241."
"AB553743"	"Asterosporium asterospermum gene for 28S ribosomal RNA, partial sequence, strain: KT2125."
"AB508109"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H12, country: Japan:Fukushima, Mt. Mitsumori."
"AB508148"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H37, country: Japan:Miyagi, Taiwa-cho."
"LC206592"	"Alternaria mali gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3659."
"LC206545"	"Pezicula melanigena gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3426."
"AB553636"	"Asterosporium asterospermum gene for 18S ribosomal RNA, partial sequence, strain: KT2125."
"LC206609"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3732."
"LC206574"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3640."
"AB915944"	"Phomopsis sp. 2T142 genes for ITS2, 28S rRNA, partial sequence."
"LC206528"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3386."
"LC206519"	"Hypoxylon fragiforme gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3315."
"LC373099"	"Crassiperidium octosporum KT 3029 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence."
"LC194318"	"Cryptocoryneum longicondensatum gene for 18S ribosomal RNA, partial sequence, strain: KT2913."
"AB753799"	"Hartigiola faggalli mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, isolate: M07hf."
"AB915941"	"Phomopsis sp. 3C3321 genes for ITS2, 28S rRNA, partial sequence."
"LC194445"	"Cryptocoryneum paracondensatum RPB2 gene for RNA polymerase II second largest subunit, partial cds, strain: KT3241."
"AB918143"	"Xylaria sp. 3C9413 genes for ITS2, 28S rRNA, partial sequence."
"LC497354"	"Dasyscyphella longistipitata DL695 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H93."
"LC206570"	"Ramularia collo-cygni gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3635."
"AB848543"	"Pachyphloeus sp. YM1003 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"AB848502"	"Inocybe sp. YM924 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"AB848483"	"Entoloma sp. YM1353 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"AB848570"	"Russula sp. YM849 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"AB848631"	"Thelephoraceae sp. YM1138 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"AB926138"	"Lanzia sp. 2 FC-2820 gene for large subunit ribosomal RNA, partial sequence, culture_collection: TNS:F-40081."
"LC497361"	"Dasyscyphella longistipitata DL725 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H128."
"AB915940"	"Phomopsis sp. 2C7321 genes for ITS2, 28S rRNA, partial sequence."
"AB221422"	"Pucciniastrum fagi genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, specimen_voucher: TSH-R4243 (IBA8372)."
"LC203310"	"Pseudodidymella fagi gene for 18S ribosomal RNA, partial sequence, strain: H 2579."
"AB753803"	"Hartigiola faggalli mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, isolate: M13hf."
"LC206447"	"Hypoxylon fragiforme gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-2449."
"AB848516"	"Inocybe sp. YM1356 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"LC373086"	"Crassiperidium octosporum KT 3008 gene for 18S ribosomal RNA, partial sequence."
"LC498257"	"Dasyscyphella longistipitata DL632 gene, beta-tubulin, partial sequence."
"LC497357"	"Dasyscyphella longistipitata DL708 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H127."
"LC438559"	"Incrucipulum radiatum TNS:F-36248 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence."
"LC203311"	"Pseudodidymella fagi gene for 18S ribosomal RNA, partial sequence, strain: AH 561."
"LC206465"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3189."
"AB162843"	"Hartigiola faggalli mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, isolate: S260."
"LC206577"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3643."
"LC373105"	"Crassiperidium octosporum MM 9 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence."
"LC206439"	"Colletotrichum godetiae FC-2411 gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"LC096151"	"Cryptocoryneum paracondensatum tef1 gene for translation elongation factor-1 alpha, partial cds, strain: KT3241."
"LC498252"	"Dasyscyphella longistipitata DL626 gene, beta-tubulin, partial sequence."
"LC373140"	"Crassiperidium octosporum KT 3605 RPB2 gene for RNA polymerase II second largest subunit, partial cds."
"LC206549"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3608."
"LC373129"	"Crassiperidium octosporum MM 9 TEF1 gene for elongation factor 1 alpha, partial cds."
"LC206649"	"Ramularia collo-cygni gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3878."
"AB508164"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H60, country: Japan:Kumamoto, Nihonsugi-toge."
"LC206475"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3199."
"LC206605"	"Umbelopsis dimorpha gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3702."
"AB508146"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H35, country: Japan:Ibaraki, Mt. Tsukuba."
"AB508107"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H12, country: Japan:Aomori, Mt. Iwaki."
"LC206596"	"Diaporthe nobilis gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3663."
"AB091776"	"Erysiphe wadae genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence."
"LC735993"	"Lepteutypa sp. KT 4162 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence."
"LC206621"	"Hymenoscyphus dehlii gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3748."
"AB162842"	"Hartigiola faggalli mitochondrial COI gene for cytochrome oxidase subunit I, partial cds, isolate: S259."
"AB915935"	"Phomopsis sp. 11322 genes for ITS2, 28S rRNA, partial sequence."
"AB915943"	"Phomopsis sp. 3C7411 genes for ITS2, 28S rRNA, partial sequence."
"LC206666"	"Phialocephala fortinii gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3964."
"LC498262"	"Dasyscyphella longistipitata DL638 gene, beta-tubulin, partial sequence."
"LC497335"	"Dasyscyphella longistipitata DL643 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H80."
"AB508113"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H12, country: Japan:Ishikawa, Mt. Horyu."
"LC206485"	"Diaporthe nobilis gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3275."
"LC206531"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3389."
"LC150785"	"Pseudodidymella fagi genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, strain: KT 3058."
"LC203354"	"Pseudodidymella fagi gene for 28S ribosomal RNA, partial sequence, strain: KT 3074-3."
"AB553744"	"Asterosporium asterospermum gene for 28S ribosomal RNA, partial sequence, strain: KT2138."
"LC206622"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3749."
"LC206463"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3187."
"LC206684"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-4138."
"AB508155"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H50, country: Japan:Miyagi, Taiwa-cho."
"LC497395"	"Dasyscyphella longistipitata DL879 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H121."
"LC203353"	"Pseudodidymella fagi gene for 28S ribosomal RNA, partial sequence, strain: KT 3058."
"AB508122"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H15, country: Japan:Aomori, Mt. Iwaki."
"AB553634"	"Asterosporium asterospermum gene for 18S ribosomal RNA, partial sequence, strain: KT2095."
"LC373127"	"Crassiperidium octosporum KT 3604 TEF1 gene for elongation factor 1 alpha, partial cds."
"AB553635"	"Asterosporium asterospermum gene for 18S ribosomal RNA, partial sequence, strain: KT2101."
"LC206656"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3895."
"AB508137"	"Dasyscyphella longistipitata gene for ITS1, 5.8S rRNA, ITS2, partial and complete sequence, haplotype: H28, country: Japan:Nara, Odaigahara."
"LC206529"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3387."
"LC206537"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3395."
"LC497385"	"Dasyscyphella longistipitata DL820 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H113."
"LC206579"	"Sphaerulina berberidis gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3645."
"LC206661"	"Ilyonectria cyclaminicola gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3948."
"LC206662"	"Phialocephala fortinii gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3949."
"LC206582"	"Ramularia haroldporteri gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3648."
"LC206635"	"Neosetophoma italica gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3846."
"LC206631"	"Neosetophoma italica gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3842."
"LC206683"	"Apiognomonia errabunda gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-4130."
"LC206497"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3288."
"LC206515"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3309."
"LC206522"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3380."
"LC206453"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3177."
"LC194354"	"Cryptocoryneum japonicum gene for 28S ribosomal RNA, partial sequence, strain: KT2961."
"LC203384"	"Pseudodidymella fagi tef1 gene for elongation factor 1 alpha, partial cds, strain: H 2579."
"LC206508"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3300."
"LC096144"	"Cryptocoryneum japonicum tef1 gene for translation elongation factor-1 alpha, partial cds, strain: KT3300."
"LC206521"	"Ramularia haroldporteri gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3317."
"LC206645"	"Sphaerulina berberidis gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3873."
"LC206652"	"Colletotrichum nymphaeae gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3889."
"LC194436"	"Cryptocoryneum japonicum RPB2 gene for RNA polymerase II second largest subunit, partial cds, strain: KT2961."
"LC206547"	"Pezicula radicicola gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3428."
"LC206663"	"Pezicula melanigena gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3959."
"LC203394"	"Melanomma japonicum rpb2 gene for RNA polymerase II second largest subunit, partial cds, strain: KT 3425."
"LC206543"	"Phialocephala fortinii gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3422."
"LC206433"	"Biscogniauxia atropunctata gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-2404."
"LC206679"	"Diaporthe nobilis gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-4125."
"LC206488"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3278."
"AB848616"	"Sebacina sp. YM779 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"LC206504"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3295."
"LC206499"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3290."
"LC206507"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3299."
"LC206535"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3393."
"LC206650"	"Colletotrichum godetiae FC-3886 gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"LC206534"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3392."
"LC206501"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3292."
"LC206664"	"Umbelopsis dimorpha gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3962."
"LC206674"	"Sphaerulina berberidis gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-4020."
"LC206670"	"Sphaerulina berberidis gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-4015."
"LC206435"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-2406."
"LC206462"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3186."
"AB757824"	"Hartigiola faggalli genes for 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, isolate: M15hf."
"AB848651"	"Tomentella sp. YM1542 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"LC497392"	"Dasyscyphella longistipitata DL863 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H117."
"LC426332"	"Pyrenopeziza nervicola FC-1416 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence."
"LC497405"	"Dasyscyphella longistipitata DL900 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H152."
"LC498253"	"Dasyscyphella longistipitata DL628 gene, beta-tubulin, partial sequence."
"LC203393"	"Melanomma japonicum rpb2 gene for RNA polymerase II second largest subunit, partial cds, strain: KT 3028."
"LC373132"	"Crassiperidium octosporum KT 2144 RPB2 gene for RNA polymerase II second largest subunit, partial cds."
"LC206533"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3391."
"LC206628"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3835."
"LC426329"	"Pyrenopeziza nervicola FC-5520 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence."
"LC203412"	"Pseudodidymella fagi rpb2 gene for RNA polymerase II second largest subunit, partial cds, strain: H 2579."
"AB848680"	"Tomentella sp. YM1434 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence."
"LC373088"	"Crassiperidium octosporum KT 3046 gene for 18S ribosomal RNA, partial sequence."
"LC203337"	"Melanomma japonicum gene for 28S ribosomal RNA, partial sequence, strain: KT 3028."
"LC206480"	"Didymosphaeria variabile gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3270."
"LC203296"	"Melanomma pulvis-pyrius gene for 18S ribosomal RNA, partial sequence, strain: AH 375."
"LC206555"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3614."
"AB926183"	"Lanzia sp. 2 FC-2820 RPB2 gene, partial sequence, culture_collection: TNS:F-40081."
"LC206677"	"Diaporthe vaccinii gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-4118."
"LC497402"	"Dasyscyphella longistipitata DL891 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H149."
"JX034567"	"Neonectria ramulariae strain MAFF 411012 beta-tubulin gene, partial cds."
"LC497338"	"Dasyscyphella longistipitata DL651 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H81."
"KC660608"	"Neonectria microconidia strain MAFF 241570 28S ribosomal RNA gene, partial sequence."
"KC660729"	"Neonectria coccinea strain MAFF 241561 beta-tubulin (btub) gene, partial cds."
"LC497401"	"Dasyscyphella longistipitata DL890 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H148."
"LC203308"	"Pseudodidymella fagi gene for 18S ribosomal RNA, partial sequence, strain: KT 3074-3."
"LC497376"	"Dasyscyphella longistipitata DL764 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H106."
"LC497337"	"Dasyscyphella longistipitata DL645 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H15."
"LC497332"	"Dasyscyphella longistipitata DL627 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H49."
"LC497333"	"Dasyscyphella longistipitata DL636 genes for 18S rRNA, ITS1, 5.8S rRNA, ITS2, 28S rRNA, partial and complete sequence, haplotype: H12."
"LC206452"	"Fusicoccum quercus gene for ITS1, 5.8S rRNA, ITS2 and 28S rRNA, partial and complete sequence, isolate: FC-3176."
