accession	description
"WXH78896"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"QNU39800"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"QNU39858"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"QNU39823"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"ANV28307"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"BCU83532"	"Fagus crenata (Japanese beech) partial maturase K"
"WPW48001"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"QLI47110"	"Fagus crenata (Japanese beech) partial hypothetical protein"
"QNU39865"	"Fagus crenata (Japanese beech) ribosomal protein L33"
"QNU39851"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"QNU39853"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"QLI47108"	"Fagus crenata (Japanese beech) partial hypothetical protein"
"WPW48139"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"BAH03328"	"Fagus crenata (Japanese beech) chloroplast protein 12"
"WAQ68845"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QNU39821"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"QNU39876"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"BAJ24079"	"Fagus crenata (Japanese beech) partial transcription factor"
"QBB88674"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"BAG75107"	"Fagus crenata (Japanese beech) transcription factor MYB251"
"QBB88667"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"QBB88655"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"QNU39846"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"QNU39849"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"ANV28310"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW47813"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"QNU39856"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"QLI46952"	"Fagus crenata (Japanese beech) partial pectinesterase-like"
"WPW48043"	"Fagus crenata (Japanese beech) ribosomal protein S18"
